,0,1,2
321,46,-160,-1
322,46,-162,-1
323,46,-164,-1
324,47,-165,-1
325,47,-167,-1
326,47,-169,-1
327,47,-167,-1
328,45,-167,-1
329,44,-165,-1
330,43,-163,-1
331,42,-161,-1
332,40,-161,-1
333,39,-159,-1
334,37,-159,-1
335,36,-157,-1
336,36,-155,-1
337,36,-157,-1
338,36,-159,-1
339,36,-161,-1
340,38,-161,-1
341,38,-163,-1
342,39,-164,-1
343,39,-166,-1
344,41,-166,-1
345,41,-168,-1
346,43,-168,-1
347,43,-170,-1
348,43,-172,-1
349,44,-173,-1
350,44,-175,-1
351,44,-177,-1
352,44,-179,-1
353,44,-181,-1
354,44,-179,-1
355,44,-177,-1
356,44,-179,-1
357,44,-181,-1
358,44,-183,-1
359,44,-185,-1
