,0,1,2
322,32,-110,-1
323,32,-108,-1
324,32,-106,-1
325,32,-104,-1
326,31,-102,-1
327,31,-100,-1
328,30,-98,-1
329,30,-96,-1
330,29,-94,-1
331,28,-92,-1
332,28,-90,-1
333,28,-88,-1
334,28,-86,-1
335,26,-86,-1
336,26,-84,-1
337,26,-82,-1
338,25,-80,-1
339,24,-78,-1
340,24,-76,-1
341,22,-76,-1
342,20,-76,-1
343,19,-74,-1
344,18,-72,-1
345,18,-70,-1
346,17,-68,-1
347,15,-68,-1
348,14,-66,-1
349,13,-64,-1
350,13,-62,-1
351,12,-60,-1
352,12,-58,-1
353,11,-56,-1
354,10,-54,-1
355,9,-52,-1
356,8,-50,-1
357,7,-48,-1
358,9,-48,-1
359,9,-50,-1
